ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,½Àµµ,16 ¹æÀ§ Ç³Çâ,Ç³¼Ó,°­¼ö·®,ÇöÁö±â¾Ð,ÇØ¸é±â¾Ð,º¯È­·® ±â¾Ð,ÀÌ½½Á¡ ¿Âµµ,±â¿Â,ÃÖ°í ±â¿Â,ÃÖÀú ±â¿Â
89009,³²±ØÁ¡,2000-01-01 12:00,,3,6,,684.2,,0,,-28.9,-28.4,-31.8
89009,³²±ØÁ¡,2000-01-02 06:00,,36,4,,680.7,,.7,,-31.2,,
89009,³²±ØÁ¡,2000-01-02 12:00,,36,6,,679.9,,.5,,-31.6,-29.3,-32.2
89009,³²±ØÁ¡,2000-01-03 06:00,,2,2,,677.7,,.4,,-30.7,,
89009,³²±ØÁ¡,2000-01-04 00:00,,12,6,,675.7,,.3,,-31.9,-31,-32
89009,³²±ØÁ¡,2000-01-04 06:00,,13,4,,674.6,,.5,,-31.8,,
89009,³²±ØÁ¡,2000-01-04 12:00,,13,6,,674.1,,.2,,-31.8,-31.5,-32
89009,³²±ØÁ¡,2000-01-04 18:00,,14,4,,673.5,,.1,,-32.2,,
89009,³²±ØÁ¡,2000-01-05 00:00,,12,5,,673.7,,.1,,-32.7,-31.7,-33
89009,³²±ØÁ¡,2000-01-05 06:00,,10,2,,673.7,,.2,,-32.3,,
89009,³²±ØÁ¡,2000-01-05 12:00,,5,4,,674,,0,,-31.6,-31.1,-33.4
89009,³²±ØÁ¡,2000-01-05 18:00,,3,2,,674.7,,.4,,-31.4,,
89009,³²±ØÁ¡,2000-01-06 00:00,,35,5,,676.2,,.6,,-31.8,-31.4,-32.3
89009,³²±ØÁ¡,2000-01-06 06:00,,36,4,,677.4,,.7,,-32,,
89009,³²±ØÁ¡,2000-01-06 12:00,,36,4,,679.1,,.8,,-31.5,-31.3,-32
89009,³²±ØÁ¡,2000-01-07 00:00,,33,5,,682.3,,.6,,-32.1,-31,-32.5
89009,³²±ØÁ¡,2000-01-07 06:00,,34,3,,683.3,,.6,,-32.6,,
89009,³²±ØÁ¡,2000-01-07 12:00,,10,2,,683.8,,.1,,-32.9,-32.1,-33
89009,³²±ØÁ¡,2000-01-07 18:00,,13,2,,683.7,,.1,,-33.2,,
89009,³²±ØÁ¡,2000-01-08 00:00,,13,3,,638.7,,0,,-33.1,-32.6,-33.4
89009,³²±ØÁ¡,2000-01-08 06:00,,12,4,,682.1,,.4,,-32.7,-32.7,-33.1
89009,³²±ØÁ¡,2000-01-08 18:00,,11,4,,681.5,,.1,,-32.7,,
89009,³²±ØÁ¡,2000-01-09 00:00,,7,2,,681.6,,.1,,-32.4,-32.4,-32.9
89009,³²±ØÁ¡,2000-01-09 06:00,,4,2,,681.8,,.2,,-32,,
89009,³²±ØÁ¡,2000-01-09 12:00,,1,6,,682.7,,.5,,-32,-31.9,-32.4
89009,³²±ØÁ¡,2000-01-09 18:00,,36,8,,683.6,,.6,,-31.8,,
89009,³²±ØÁ¡,2000-01-10 00:00,,1,9,,684.4,,.5,,-31.2,-31.2,-32.1
89009,³²±ØÁ¡,2000-01-10 06:00,,3,10,,684.3,,.1,,-31.1,,
89009,³²±ØÁ¡,2000-01-10 12:00,,3,11,,683.9,,.2,,-30.8,-30.5,-31.9
89009,³²±ØÁ¡,2000-01-10 18:00,,4,11,,682.5,,.6,,-31.2,,
